Actual,Predicted,predicted_delta
254.8499999999999,255.4682920134287,0.0002683092898223549
254.42999999999984,255.70921974033308,0.0002749812847469002
254.48999999999933,255.26977120860465,0.00026882337988354266
255.5300000000002,255.31965895441817,0.00026553767384029925
256.53999999999996,256.36423508987764,0.0002669197565410286
259.57000000000016,257.3746827371592,0.0002670501417014748
264.3600000000001,260.40026160645266,0.0002653253322932869
265.92999999999984,265.20171122203465,0.00026855143369175494
263.0900000000006,266.7798210818369,0.00027106600464321673
266.4499999999998,263.92327523296535,0.000266051763901487
268.5799999999999,267.2506913305119,0.0002553117519710213
269.52999999999975,269.4138518257755,0.0002657574659679085
273.0,270.3495867176698,0.00026106732548214495
264.6199999999999,273.8481537737057,0.0002698925381992012
270.07000000000016,265.47537682022494,0.00027291374863125384
266.96000000000004,270.8955608864767,0.0002629895752761513
268.5,267.7823331822574,0.00026221098960377276
266.30999999999995,269.32175513056245,0.0002618459111545235
260.3499999999999,267.153146067164,0.00026884200633503497
263.4000000000001,261.19198677781196,0.000268987292656675
261.0500000000002,264.2385776421861,0.00026769089163281024
262.9000000000001,261.884938704442,0.0002666850632522255
260.02,263.75579278015175,0.00027319687069393694
263.1399999999999,260.8509858420398,0.00026551159680821
264.40999999999985,263.9778021867178,0.0002674412971828133
263.82000000000016,265.2397974295782,0.00026478516520000994
263.6599999999994,264.64414945217686,0.000263019377598539
264.0500000000002,264.48779820504933,0.0002642524486873299
267.2600000000002,264.9492320982099,0.0002869618183467537
266.4499999999998,268.10626571974126,0.00026978077949024737
268.5,267.2996628363767,0.00027092816890217364
270.8800000000001,269.3420135037295,0.000268301839241758
270.6399999999999,271.7146122341296,0.00026580962003208697
270.69000000000005,271.4680123209059,0.00026371973217464983
268.59000000000015,271.55116278380046,0.00027422132552601397
266.22000000000025,269.41300459257855,0.00026230784715153277
268.28999999999996,267.0616119907586,0.0002683800703380257
269.03999999999996,269.13085690648904,0.0002679665631148964
267.8899999999999,269.8636122324838,0.00026245685876347125
267.67999999999984,268.71526952657905,0.0002630789822433144
269.75000000000045,268.5371221162568,0.00027317451895214617
276.2399999999993,270.5744505649618,0.0002625909692142159
274.9000000000001,277.11833659925014,0.00027923184097744524
273.1399999999999,275.78117502231635,0.0002802823728416115
275.21000000000004,273.98136201656916,0.00026773932040669024
275.3600000000001,276.06801088855946,0.00027286159456707537
277.6199999999999,276.17416049791655,0.0002589327341411263
278.1999999999998,278.4669300972091,0.000269132578978315
277.02,279.0413478718133,0.0002673146373126656
278.3800000000001,277.8743127278658,0.0002715093141887337
278.5999999999999,279.2264322284136,0.0002688755339477211
280.22000000000025,279.4149328942676,0.0002588433271739632
279.5799999999999,281.06966089048547,0.0002697472518775612
279.73,280.379323725801,0.0002538551634643227
281.19000000000005,280.5397656625332,0.00025709616602398455
279.97000000000025,282.01638876702646,0.00026231902302242815
282.84000000000015,280.80426331395665,0.00026486339629627764
287.52999999999975,283.6858096231954,0.00026828693808056414
289.53999999999996,288.40621946418014,0.00027751075685955584
287.82000000000016,290.3520563016523,0.0002570700889918953
295.6999999999998,288.6341414503786,0.00025787102640606463
293.9899999999998,296.5142316757406,0.0002572302764747292
283.96000000000004,294.8280891730383,0.00026491927565075457
284.4899999999998,284.8317129801371,0.00027647512615658343
284.0,285.3404781592976,0.0002696615702006966
284.52999999999975,284.8839744045099,0.0002803009992931038
285.4000000000001,285.3599336766879,0.0002631758397910744
283.8699999999999,286.24094078342114,0.00026655467809177935
286.9000000000001,284.7104649819257,0.0002665025240276009
287.94000000000005,287.7277378344015,0.00026225196779705584
287.6100000000001,288.7975146706067,0.00027160244644619524
290.1300000000001,288.45110102359104,0.0002664429193828255
295.28999999999996,290.99170843657976,0.0002727498358581215
296.09999999999945,296.1640019962947,0.00027618827880360186
