Actual,Predicted
229.38999999999942,-1397.5743546156882
229.02000000000044,-1411.0068195242893
228.70000000000073,-1483.2815542313474
228.40000000000146,-1601.2319875010944
228.45000000000073,-1434.7656277997303
229.65000000000146,-1446.5012076325984
228.22000000000116,-1418.5436965415684
228.3100000000013,-1484.6738701909198
227.88000000000102,-1552.8200013234054
228.5699999999997,-1371.1372718902348
228.91999999999825,-1334.813778965723
229.1899999999987,-1459.1722497508053
228.84000000000015,-1387.0135413737116
228.4900000000016,-1431.5193077759322
229.02999999999884,-1516.4094886514213
228.9300000000003,-1402.5779900954076
229.65999999999985,-1373.4457124134897
229.88999999999942,-1326.5203135884694
230.52999999999884,-1315.9595003464892
229.65999999999985,-1242.5438400614512
229.40000000000146,-1603.5380108091413
229.84999999999854,-1765.3173902229828
229.5600000000013,-1726.0908218341501
229.7599999999984,-1702.7018474854704
230.4399999999987,-1641.3408394407015
230.47999999999956,-1520.874085139847
231.63999999999942,-1466.0468098012025
232.11000000000058,-1392.6891626811412
233.29999999999927,-1216.9310277217846
232.36000000000058,-1119.3794735889205
231.72000000000116,-1290.247582183314
232.09999999999854,-1473.9414346692029
232.09000000000015,-1453.2742446442753
232.54000000000087,-1471.393689840399
233.79999999999927,-1406.2231506284625
234.70999999999913,-1491.6886287233574
234.72999999999956,-1344.9564139767863
236.88999999999942,-1263.1119242628665
235.91999999999825,-1072.7610610952652
234.97999999999956,-1255.9037885138205
237.9399999999987,-1404.6108680849975
240.38999999999942,-1298.988232373973
248.0,-1070.2809982922736
246.09999999999854,-898.1075934857763
250.09000000000015,-1184.0979935570358
248.04000000000087,-1051.6974477762924
248.84000000000015,-1210.7888838792896
253.2599999999984,-1116.7011991389045
248.0,-992.4660063294104
251.0,-1464.4949576379258
247.7599999999984,-1501.1834500587865
246.52000000000044,-1750.2678083405044
244.95000000000073,-1694.7298717308258
248.75,-1574.6885473065086
247.61999999999898,-1628.8752606151393
247.90999999999985,-1602.8297667533152
248.40000000000146,-1538.7759809672862
248.29999999999927,-1594.5145464391935
247.95000000000073,-1523.9028557949605
246.5,-1445.382036991483
247.27999999999884,-1568.604416628994
245.0,-1585.6747904250224
243.70000000000073,-1477.917753685695
241.47999999999956,-1391.7077733068581
241.38999999999942,-1128.1829713749758
241.95000000000073,-1049.1545373779009
244.88000000000102,-1069.6138468949757
244.61999999999898,-1091.8135513615198
244.7599999999984,-1140.8733512148428
243.29999999999927,-1221.5068161097588
243.91999999999825,-1179.7784299810664
244.40000000000146,-1165.7029858272472
242.5,-1217.2718550660575
242.0,-1222.4495300407216
243.63999999999942,-1164.980238480177
244.4399999999987,-1185.1132239442268
243.34999999999854,-1225.6789295580675
245.83000000000175,-1260.1629217096015
246.58000000000175,-1483.5208585368964
245.95000000000073,-1408.1835121618205
246.0,-1445.8533939569606
246.8199999999997,-1552.0900023307113
245.59000000000015,-1512.984294702259
243.0,-1646.0568263107161
244.61000000000058,-1503.668347292194
244.66999999999825,-1527.3570563266112
243.7400000000016,-1482.9624818239427
242.7599999999984,-1402.9405723765485
243.9900000000016,-1266.1092711202837
243.0,-1265.0529480745645
239.97999999999956,-1220.0854935676944
241.4300000000003,-1362.826886006529
240.1899999999987,-1262.273150585832
240.0,-1182.8217039274277
241.9900000000016,-1165.2340460769738
242.5099999999984,-1215.9931482212378
241.75,-1258.308917645376
241.5699999999997,-1351.4925638981222
241.97999999999956,-1352.2491522580967
241.77999999999884,-1412.6553602958666
241.5099999999984,-1406.984573418853
241.65000000000146,-1466.6970406920445
241.0,-1469.8539237531622
241.25,-1494.7246510240948
242.97999999999956,-1419.8344894624206
242.36000000000058,-1726.0545636060342
243.52999999999884,-1614.3429627870864
245.20000000000073,-1631.4689325328873
246.97000000000116,-1489.7234327595834
247.70000000000073,-1244.4534400754492
251.20999999999913,-1258.6521622048567
250.40000000000146,-1050.4090720706445
249.61000000000058,-1099.8580435723925
248.5099999999984,-1155.9833634775132
249.4900000000016,-1367.7531705996043
247.34000000000015,-1430.409805995645
248.61999999999898,-1674.6645682925919
250.13999999999942,-1576.5836440292624
250.15999999999985,-1506.863905796632
255.27000000000044,-1578.7132106271529
254.63000000000102,-1462.7497282580443
254.36000000000058,-1521.7346137537497
256.0400000000009,-1629.0106246667638
