Actual,Predicted
4530.16,4730.817693903849
4367.99,4730.766818939545
4191.07,4562.3900192171695
3975.5300000000007,4378.7420097999375
4052.7800000000007,4155.029482335755
3808.21,4235.262204015802
3655.91,3981.414104886235
3591.3099999999995,3823.3687694266737
3352.33,3756.347884515336
3316.26,3508.31213298263
3538.3199999999997,3470.8926307966412
3776.08,3701.384906439028
4134.12,3948.159188905008
4075.9400000000005,4319.790602494007
3832.25,4259.324412213884
4089.84,4006.3237454072923
4113.83,4273.716185283249
4148.15,4298.612348632044
4110.55,4334.250952676528
4058.8199999999997,4295.247676417871
4023.7199999999993,4241.586384939447
4002.45,4205.1922339944895
4124.32,4183.146633916714
4314.27,4309.698386914731
4236.88,4506.904986086508
4384.19,4426.562075745901
4460.04,4579.503258326067
4729.65,4658.243149381131
4729.65,4938.151794806724
4729.65,4938.126065800131
5048.48,4938.118808900836
4950.68,5269.147538019023
5181.98,5167.586956452122
4873.67,5407.74788494708
5012.46,5087.628597643386
4839.46,5231.7646681243505
4869.82,5052.148979730448
5033.37,5083.691015132348
4955.33,5253.523721801032
4624.84,5172.476110467541
4527.51,4829.327086916348
4487.84,4728.29009133226
4593.12,4687.102419490426
4588.44,4796.391965970482
4838.4,4791.497709203822
4875.79,5050.970788651565
4734.94,5089.730335429963
4801.24,4943.439183504532
4909.22,5012.2334085616985
4818.84,5124.2994747552475
4837.6,5030.430191272545
4759.31,5049.88570489396
4735.17,4968.587281698608
4775.48,4943.49836026463
4820.76,4985.333602833468
4880.76,5032.329828294911
4951.91,5094.614978696725
5139.94,5168.468637236821
5297.92,5363.652636518793
5185.3,5527.626592837746
5344.84,5410.654609111228
5344.84,5576.273327746675
5279.97,5576.249136948429
5349.76,5508.889292642048
5363.68,5581.346921795919
5454.61,5595.796716333437
5586.46,5690.194043541824
5671.45,5827.059707305011
5313.31,5915.260113663022
5451.06,5543.390518026752
5690.110000000001,5686.40150967319
5739.26,5934.581851459171
5824.0,5985.577489629993
5732.09,6073.520618901297
5806.739999999999,5978.048861209424
5913.820000000001,6055.527458625089
5941.15,6166.6555362133195
5728.0,6194.972646054906
5921.29,5973.637634073647
5850.18,6174.2963001948765
5777.07,6100.4259773551275
5852.949999999999,6024.478092260064
6112.09,6103.22702728435
6172.570000000001,6372.223010285625
6172.65,6434.940898248184
6305.220000000001,6434.951068040849
6301.89,6572.509390532701
6102.09,6568.978693676252
6125.789999999999,6361.493002933809
5728.719999999999,6386.0699006926
5789.05,5973.826368469069
6018.04,6036.468935288392
6110.070000000001,6274.18380304015
6142.21,6369.678840022471
6168.9,6402.982872698751
6158.169999999999,6430.619798808794
6089.6,6419.418496478319
5901.450000000001,6348.166049238277
5713.59,6152.781234491138
5597.24,5957.721871089681
