time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,MHULL,SHULL,KD,J,RSI,MACD,Signal Line,Histogram,Cross,QQE Line,Histo2,QQE Up,QQE Down,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes
598665600,4980.77,4980.77,4980.77,4980.77,5791.915110977666,6223.101779167746,6053.90527828499,NaN,NaN,3693.6553185730904,3014.5755247218417,NaN,NaN,2.346205785522056,-4.128579525429928,-18.13951141658157,-407.4489150847221,-242.79943229400084,-164.64948279072127,NaN,-26.143771686304746,-31.20569988846653,NaN,-31.20569988846653,-1701.448461538469,-1226.5117692307754,-995.9211685532987,-1457.102369908252,0,NaN,NaN
598752000,4980.77,4980.77,4980.77,4980.77,5667.12355544264,6205.966168420605,6041.280157363991,NaN,NaN,3698.116721281676,3020.384075608926,NaN,NaN,1.6809426040515554,-3.21960800510069,-18.13951141658157,-441.974246466978,-280.9908903089924,-160.9833561579856,NaN,-28.31908391043707,-33.26765145204631,NaN,-33.26765145204631,-1617.572307692315,-1314.3797692307758,-1107.4965142303565,-1521.263024231195,0,NaN,NaN
598838400,5217.73,5217.73,5217.73,5217.73,5597.986085374541,6192.335324718251,6031.591331983238,NaN,NaN,3703.384011675847,3026.8754963604506,NaN,NaN,6.102370701019458,14.70566563886309,-4.750811307751917,-445.0844719491797,-314.79854669898305,-130.28592525019667,NaN,-33.24561970770868,-28.290652608235177,NaN,-28.290652608235177,-1314.6423076923156,-1356.6982307692374,-1182.8957483656163,-1530.5007131728585,0,NaN,NaN
599097600,5217.73,5217.73,5217.73,5217.73,5539.485149163073,6178.892492653172,6022.016492783435,NaN,NaN,3708.633044564319,3033.3477400935067,NaN,NaN,10.107653783675165,24.422508959236247,-4.750811307751917,-442.4490705811131,-345.11596419947807,-97.33310638163505,NaN,-29.942814939783386,-24.97265337902775,NaN,-24.97265337902775,-1199.910769230778,-1364.552692307699,-1196.633987470939,-1532.4713971444592,0,NaN,NaN
599184000,5603.36,5603.36,5603.36,5603.36,5549.3120492918315,6170.954113444162,6017.0911222801005,NaN,NaN,3715.2005556750146,3040.940095366495,NaN,NaN,25.416685267219115,70.84669156385954,14.885606869639602,-404.5796356564897,-368.4450663212078,-36.134569335281924,NaN,-20.343521796581896,-15.057438109282145,NaN,-15.057438109282145,-693.2230769230855,-1327.3686923076996,-1102.835579864467,-1551.9018047509321,0,-1102.835579864467,NaN
599270400,5345.46,5345.46,5345.46,5345.46,5517.950195554627,6159.567987741484,6009.189579665041,NaN,NaN,3720.8513683069905,3047.7481305352794,NaN,NaN,33.79503759165042,77.45592155104887,6.822800476678879,-390.87247569381907,-386.4059353822136,-4.466540311605456,NaN,-17.824577562235824,-12.344615721589165,NaN,-12.344615721589165,-847.4453846153929,-1302.6886923076995,-1055.1245451725204,-1550.2528394428787,0,NaN,NaN
599356800,5119.11,5119.11,5119.11,5119.11,5456.5901654693,6145.216843082981,5998.718055198393,NaN,NaN,3725.69801867681,3053.867367963536,NaN,NaN,32.193066799473115,50.01858179872909,0.49404327681918403,-393.7352708718536,-399.53380409137145,5.7985332195178785,-399.53380409137145,-17.824577562235824,-13.171941054783879,NaN,-13.171941054783879,-948.8153846153928,-1275.1963846153922,-1013.6245185221928,-1536.7682507085915,0,NaN,NaN
599443200,5119.11,5119.11,5119.11,5119.11,5404.670140012485,6131.063645247354,5988.369725137235,NaN,NaN,3730.5278695652787,3059.9685278809256,NaN,NaN,30.372970206443156,34.73548622349625,0.49404327681918403,-391.4911899330273,-408.34342045980327,16.852230526775998,NaN,-17.824577562235824,-13.723491276913684,NaN,-13.723491276913684,-812.6261538461613,-1211.6191538461615,-933.0385648425549,-1490.199742849768,0,NaN,NaN
599702400,5119.11,5119.11,5119.11,5119.11,5360.737810779795,6117.105663933597,5978.14314013562,NaN,NaN,3735.340979202834,3066.051663692208,NaN,NaN,28.65816176781535,26.552398679772374,0.49404327681918403,-385.2715687993832,-411.43409389295175,26.162525093568547,NaN,-17.824577562235824,-14.091191425000225,NaN,-14.091191425000225,-676.4369230769316,-1138.0596153846232,-838.2190001440842,-1437.900230625162,0,NaN,NaN
599788800,5119.11,5119.11,5119.11,5119.11,5323.564301429057,6103.34020650003,5968.036867898731,NaN,NaN,3740.1374056180757,3072.1168286443726,NaN,NaN,27.180682335436025,22.434102210466243,0.49404327681918403,-376.0080870701822,-407.94066855800287,31.93258148782064,NaN,-17.824577562235824,-14.336324857057917,NaN,-14.336324857057917,-614.9253846153924,-1042.7046153846234,-743.1324304477959,-1342.276800321451,0,NaN,NaN
