actual_prices,predicted_prices
-0.9533252890655916,-0.766945481300354
-0.9533435362770915,-0.766947329044342
-0.9533593176491995,-0.7669540047645569
-0.9533741126855507,-0.7669594883918762
-0.9533716468461589,-0.7669643759727478
-0.9533124667007538,-0.7669638395309448
-0.9533829897073616,-0.7669444680213928
-0.9533785511964561,-0.7669678330421448
-0.9533997574152263,-0.7669664025306702
-0.9533657288316184,-0.7669737935066223
-0.9533484679558754,-0.766963005065918
-0.9533351524231591,-0.7669574618339539
-0.9533524132989023,-0.7669526934623718
-0.9533696741746454,-0.7669589519500732
-0.9533430431092131,-0.7669647336006165
-0.9533479747879968,-0.7669557332992554
-0.9533119735328754,-0.7669571042060852
-0.9533006306716728,-0.7669450640678406
-0.9532690679274567,-0.7669411301612854
-0.9533119735328754,-0.766930341720581
-0.9533247958977131,-0.7669439911842346
-0.9533026033431863,-0.7669481635093689
-0.9533169052116591,-0.7669402956962585
-0.9533070418540918,-0.7669447660446167
-0.9532735064383622,-0.7669414281845093
-0.9532715337668486,-0.7669301629066467
-0.953214326292957,-0.7669293284416199
-0.9531911474026732,-0.76691073179245
-0.9531324604251465,-0.7669025659561157
-0.9531788182057138,-0.7668827772140503
-0.9532103809499298,-0.7668979167938232
-0.9531916405705517,-0.7669084668159485
-0.95319213373843,-0.7669022679328918
-0.953169941183903,-0.7669019103050232
-0.9531078020312277,-0.7668943405151367
-0.9530629237542955,-0.7668729424476624
-0.9530619374185387,-0.766857922077179
-0.9529554131568094,-0.7668573260307312
-0.953003250441012,-0.766821563243866
-0.9530496082215792,-0.7668377757072449
-0.9529036305295799,-0.7668526768684387
-0.9527828043993778,-0.7668038606643677
-0.9524075036439335,-0.7667632699012756
-0.952501205540825,-0.7666383385658264
-0.9523044315573528,-0.7666699886322021
-0.9524055309724199,-0.7666053175926208
-0.9523660775421499,-0.7666395902633667
-0.9521480973399076,-0.7666271328926086
-0.9524075036439335,-0.7665553689002991
-0.9522595532804206,-0.7666425108909607
-0.9524193396730145,-0.7665935754776001
-0.952480492489933,-0.7666478753089905
-0.9525579198468381,-0.7666689157485962
-0.9523705160530552,-0.7666953802108765
-0.9524262440233118,-0.7666330933570862
-0.9524119421548388,-0.7666532397270203
-0.9523877769287983,-0.7666491270065308
-0.9523927086075822,-0.7666422724723816
-0.9524099694833252,-0.7666444182395935
-0.9524814788256899,-0.766650915145874
-0.9524430117311765,-0.7666755318641663
-0.9525554540074462,-0.7666627764701843
-0.9526195658316352,-0.7667012810707092
-0.9527290491006347,-0.7667227983474731
-0.9527334876115401,-0.7667596936225891
-0.952705870210351,-0.7667611241340637
-0.9525613720219868,-0.7667515277862549
-0.9525741943868247,-0.7667032480239868
-0.9525672900365274,-0.7667075395584106
-0.9526392925467703,-0.7667050361633301
-0.952608716138311,-0.7667295336723328
-0.9525850440801488,-0.7667191624641418
-0.9526787459770404,-0.7667115330696106
-0.9527034043709591,-0.766743004322052
-0.9526225248389055,-0.7667509913444519
-0.9525830714086354,-0.7667239308357239
-0.9526368267073785,-0.7667107582092285
-0.952514521073541,-0.7667290568351746
-0.9524775334826627,-0.7666882872581482
-0.9525086030590005,-0.7666765451431274
-0.9525061372196086,-0.7666870951652527
-0.9524656974535818,-0.766686737537384
-0.9525263571026221,-0.7666738629341125
-0.9526540875831215,-0.7666938900947571
-0.952574687554703,-0.7667370438575745
-0.9525717285474328,-0.7667104601860046
-0.9526175931601216,-0.7667096257209778
-0.9526659236122026,-0.7667249441146851
-0.9526052639631623,-0.7667412161827087
-0.9526540875831215,-0.7667213082313538
-0.9528030242823912,-0.7667377591133118
-0.9527315149400266,-0.7667874693870544
-0.9527926677569453,-0.7667633891105652
-0.9528020379466344,-0.766783595085144
-0.9527038975388374,-0.766786515712738
-0.9526782528091621,-0.7667536735534668
-0.9527157335679186,-0.7667452692985535
-0.9527246105897293,-0.7667580246925354
-0.952704390706716,-0.7667612433433533
-0.9527142540642835,-0.766754686832428
-0.9527275695969997,-0.7667580246925354
-0.9527206652467023,-0.7667627334594727
-0.9527527211587967,-0.7667609453201294
-0.9527403919618374,-0.7667720317840576
-0.9526550739188783,-0.7667679190635681
-0.9526856503273375,-0.7667394876480103
-0.9526279496855676,-0.7667497992515564
-0.9525455906498788,-0.7667307257652283
-0.9524582999354061,-0.7667036056518555
-0.9524222986802847,-0.7666749358177185
-0.9522491967549747,-0.7666634917259216
-0.9522891433531231,-0.7666064500808716
-0.9523281036155148,-0.7666203379631042
-0.9523823520821363,-0.7666336894035339
-0.9523340216300553,-0.7666527032852173
-0.9524400527239062,-0.7666374444961548
-0.9523769272354742,-0.7666730284690857
-0.9523019657179609,-0.766652524471283
-0.9523009793822041,-0.766628086566925
-0.9520489705963538,-0.7666283845901489
-0.95208053334057,-0.7665449976921082
-0.9520938488732861,-0.7665563225746155
-0.9520109966697189,-0.7665619254112244
-0.9518906637073952,-0.7665351033210754
-0.9516307642354909,-0.7664961814880371
-0.9517313704826796,-0.7664099335670471
-0.9515000747477211,-0.7664452195167542
-0.951727918307531,-0.7663690447807312
-0.9516924102202879,-0.7664470076560974
-0.9517427133438823,-0.7664362788200378
-0.9517752624238551,-0.7664548754692078
-0.9519878177794353,-0.7664666771888733
