iter	RMSE
402	0.3984666671
403	0.3981557805
404	0.3978498781
405	0.3975122342
406	0.3971897703
407	0.3970338915
408	0.3968201634
409	0.3966449459
410	0.3965752401
411	0.3962834783
412	0.3959499373
413	0.3957646742
414	0.3956002611
415	0.395388956
416	0.3951020617
417	0.3948090592
418	0.394552784
419	0.3943134044
420	0.3940479247
421	0.3938207063
422	0.3937588739
423	0.393478172
424	0.3932225624
425	0.3928868402
426	0.3925945804
427	0.3924192065
428	0.3920525233
429	0.3917595775
430	0.3915588637
431	0.3913883847
432	0.3911210967
433	0.3908744107
434	0.3906398715
435	0.3904252943
436	0.390316283
437	0.3901931247
438	0.3899170871
439	0.3896909778
440	0.3894649345
441	0.389256462
442	0.3890922304
443	0.3889948629
444	0.3887455453
445	0.3885041307
446	0.3883114666
447	0.3880945472
448	0.3878348853
449	0.387675381
450	0.387394715
451	0.387141454
452	0.3870009685
453	0.386883441
454	0.3865228656
455	0.3862756236
456	0.3861051022
457	0.3857341279
458	0.3855720138
459	0.385296495
460	0.3851336519
461	0.3850156601
462	0.3848339738
463	0.3845549583
464	0.3842943913
465	0.3840236661
466	0.38381851
467	0.3837019213
468	0.3834512801
469	0.3831743982
470	0.3829873914
471	0.3827905899
472	0.3826102646
473	0.3824107813
474	0.3820978561
475	0.381874529
476	0.381713323
477	0.3815678753
478	0.381306928
479	0.3811107301
480	0.3809764324
481	0.3808259089
482	0.3805734535
483	0.3803871448
484	0.3801894604
485	0.3800557321
486	0.3798135458
487	0.3795074727
488	0.3792881937
489	0.3789966307
490	0.37871392
491	0.3786205734
492	0.3783527211
493	0.3782199477
494	0.3781104479
495	0.3779140424
496	0.3777707455
497	0.3775339493
498	0.3774713241
499	0.377158477
