Date,TSMC_price,TSMC_zscore,MediaTek_price,MediaTek_zscore,Zscore_diff
2011-08-05,45.69,0.09513658588995401,121.4,-2.336775439755787,2.431912025645741
2011-08-08,44.73,-0.15759314436401028,125.19,-2.177752149349956,2.0201590049859455
2011-08-09,43.42,-0.5009378140578804,133.86,-1.858559276693526,1.3576214626356455
2011-08-10,45.14,-0.057422003858680716,138.74,-1.6749722041889799,1.617550200330299
2011-08-11,45.55,0.045038486165845215,143.08,-1.5130037466598845,1.5580422328257297
2011-08-12,44.66,-0.19237520368938502,139.28,-1.6274156372540203,1.4350404335646352
2011-08-15,45.83,0.10978333736413746,144.43,-1.4400962967960391,1.5498796341601766
2011-08-16,45.28,-0.03978141674994459,142.26,-1.5007212245427943,1.4609398077928497
2011-08-17,45.14,-0.08231245348663092,138.74,-1.6058381784345408,1.52352572494791
2011-08-18,44.18,-0.34251759304633417,137.66,-1.6296270341325645,1.2871094410862303
2011-08-19,43.84,-0.43845708206453354,136.57,-1.652416700498525,1.2139596184339916
2011-08-22,44.59,-0.2437974318666731,145.79,-1.3309798516502493,1.0871824197835762
2011-08-23,45.83,0.08253937275634854,147.41,-1.267322405161937,1.3498617779182855
2011-08-24,46.31,0.20577320364320822,151.75,-1.11256600776499,1.3183392114081982
2011-08-25,45.96,0.10483547855432583,152.29,-1.0867962484215363,1.191631726975862
2011-08-26,46.58,0.26737205199534697,158.52,-0.8677498583221694,1.1351219103175163
2011-08-29,47.61,0.5432845066357437,156.63,-0.9257179830505634,1.4690024896863072
2011-08-30,47.33,0.46020734125431634,157.17,-0.9006071919800313,1.3608145332343475
2011-08-31,47.61,0.5316597239535343,157.98,-0.8661027405398831,1.3977624644934175
2011-09-01,47.06,0.3725489310524272,157.17,-0.887368104465762,1.2599170355181892
2011-09-02,46.31,0.15600413118523254,159.06,-0.8152726211969288,0.9712767523821613
2011-09-05,45.69,-0.02657684461583899,154.46,-0.9679328368889254,0.9413559922730864
2011-09-06,45.34,-0.13439482377588818,148.5,-1.1669655436115816,1.0325707198356935
2011-09-07,47.06,0.3511951984505454,153.1,-0.9988840802372861,1.3500792786878315
2011-09-08,47.13,0.3649587347718081,153.64,-0.9726020765097824,1.3375608112815904
2011-09-09,47.54,0.47795039862150984,153.1,-0.9840812229963153,1.462031621617825
2011-09-13,46.92,0.28950577871404465,153.64,-0.9578952466176677,1.2474010253317123
2011-09-14,46.1,0.03957939051041568,151.48,-1.0265215518553317,1.0661009423657473
2011-09-15,47.4,0.4203630707830855,160.69,-0.6962868430847703,1.1166499138678558
2011-09-16,48.77,0.8253363348073993,168.55,-0.410538607922921,1.2358749427303204
2011-09-19,48.84,0.8406625652729245,167.74,-0.4332812986186472,1.2739438638915717
2011-09-20,48.36,0.6895389036892082,176.95,-0.09252287437073187,0.7820617780599401
2011-09-21,49.39,0.9994743758130993,183.72,0.16276066655841823,0.836713709254681
2011-09-22,47.33,0.3580204287383315,188.6,0.35302645391528636,0.004993974823045144
2011-09-23,46.31,0.03338562415940965,175.59,-0.12143654495496664,0.1548221691143763
2011-09-26,46.1,-0.04002527018898064,165.84,-0.48147894331543084,0.44145367312645023
2011-09-27,47.95,0.5377572255581052,177.22,-0.03999443192824414,0.5777516574863494
2011-09-28,48.23,0.6209297247505555,180.47,0.0950035523847302,0.5259261723658253
2011-09-29,48.23,0.6150388609141039,178.03,0.010035145903000975,0.605003715011103
2011-09-30,48.02,0.5413638465824676,182.91,0.21334591880576476,0.32801792777670286
2011-10-03,47.06,0.22364068495245856,176.14,-0.047050799909216144,0.2706914848616747
2011-10-04,47.4,0.32766806498052903,177.22,0.005707645901851579,0.32196041907867745
2011-10-05,47.4,0.3207280084618266,178.03,0.046685679087048085,0.2740423293747785
2011-10-06,47.33,0.29045331754038434,178.85,0.0891861486991088,0.20126716884127555
2011-10-07,47.4,0.3071095341105185,168.28,-0.3420511856370839,0.6491607197476024
2011-10-11,48.02,0.5111541741605721,173.43,-0.11884854814133922,0.6300027223019113
2011-10-12,48.29,0.5974723780880066,178.3,0.09468609644663328,0.5027862816413733
2011-10-13,48.29,0.5915890066869302,182.1,0.2662856986650703,0.32530330802185986
2011-10-14,48.23,0.5648987944565281,182.37,0.2853206967510186,0.2795780977055095
2011-10-17,48.77,0.7482917212885086,182.1,0.27962401834302036,0.46866770294548826
2011-10-18,48.5,0.6475995030415517,183.72,0.35550614181382284,0.29209336122772883
2011-10-19,48.77,0.7383863639191172,177.76,0.10195226060902086,0.6364341033100963
2011-10-20,47.81,0.38797861155393926,176.95,0.07205154500604324,0.31592706654789604
2011-10-21,48.23,0.5339808206011569,179.93,0.20842057242009068,0.3255602481810662
2011-10-24,49.19,0.8804235264009089,186.43,0.4989629806914408,0.38146054570946814
2011-10-25,49.05,0.8247722045763493,183.72,0.3841414344503637,0.44063077012598556
2011-10-26,49.32,0.9209873960964925,183.18,0.3650490465624578,0.5559383495340346
2011-10-27,49.32,0.9165759035001051,177.22,0.10381024686245979,0.8127656566376453
2011-10-28,50.15,1.2304018238898407,175.59,0.033811496198871284,1.1965903276909693
2011-10-31,50.49,1.3598118149787115,172.34,-0.1076809661461529,1.4674927811248644
2011-11-01,50.63,1.4126558684601553,173.15,-0.06721028090480363,1.479866149364959
2011-11-02,50.7,1.4390731911761252,176.68,0.09426013035408615,1.344813060822039
2011-11-03,50.42,1.3254544124798568,168.55,-0.26577095688856534,1.5912253693684222
2011-11-04,51.18,1.6255830500375221,173.97,-0.017920220220576738,1.643503270258099
2011-11-07,51.45,1.7290474215342153,172.07,-0.0989449582663416,1.8279923798005568
2011-11-08,51.11,1.588205195441988,171.8,-0.10738950497130523,1.6955947004132932
2011-11-09,50.83,1.4695933441701061,172.34,-0.07863814141135873,1.548231485581465
2011-11-10,49.8,1.0413541516814608,167.74,-0.2826203758307835,1.3239745275122443
2011-11-11,50.35,1.2658651060723074,169.36,-0.20434582966735343,1.4702109357396609
2011-11-14,52.07,1.9778058175305027,173.97,0.00928167409406211,1.9685241434364404
2011-11-15,52.14,1.9950597864010535,170.72,-0.1341369909680564,2.12919677736911
2011-11-16,51.72,1.808677051868428,165.84,-0.35157720135536047,2.1602542532237887
2011-11-17,51.93,1.8867105244467501,167.19,-0.28452996931322094,2.171240493759971
2011-11-18,50.9,1.4454944087614277,166.92,-0.2924275662102009,1.7379219749716286
2011-11-21,50.28,1.1756025040463203,163.13,-0.46210933882450017,1.6377118428708204
2011-11-22,50.76,1.3778773525522203,156.63,-0.7557462438455743,2.1336235963977948
2011-11-23,50.35,1.1964356021876292,153.92,-0.8738913480560159,2.070326950243645
2011-11-24,49.94,1.0147083666888534,148.22,-1.127992288655039,2.1427006553438925
2011-11-25,49.12,0.6453087352072955,148.22,-1.1190925141313204,1.7644012493386159
2011-11-28,50.49,1.2574843925830692,152.29,-0.9243090256653836,2.1817934182484526
2011-11-29,50.49,1.2554717508408246,153.1,-0.8800011238647573,2.135472874705582
2011-11-30,51.18,1.5715208496443434,151.48,-0.9472665963270934,2.518787445971437
2011-12-01,52.55,2.198519822193416,155.81,-0.7414573806184858,2.939977202811902
2011-12-02,52.14,2.002964966022835,156.63,-0.697440865191531,2.700405831214366
2011-12-05,52.34,2.094145308989038,152.02,-0.9037326552769778,2.997877964266016
2011-12-06,51.72,1.803097769631564,141.99,-1.3584469356759281,3.161544705307492
2011-12-07,52.41,2.1256880897180683,142.81,-1.3103457834391534,3.4360338731572218
2011-12-08,52.34,2.0858483110578367,139.28,-1.4624763883234855,3.5483246993813222
2011-12-09,50.83,1.3550377275680452,140.91,-1.3759879176054393,2.7310256451734842
2011-12-12,51.45,1.6630983745216594,141.45,-1.3401847983434798,3.0032831728651392
2011-12-13,51.59,1.7315268650474713,145.79,-1.130324719523025,2.8618515845704966
2011-12-14,51.11,1.4853186335034514,144.97,-1.159721411924006,2.645040045427457
2011-12-15,49.74,0.7879927950509442,139.01,-1.429090704001354,2.2170834990522983
2011-12-16,49.87,0.8473167803253103,138.2,-1.4594889949102834,2.3068057752355937
2011-12-19,49.74,0.7751576855600951,131.97,-1.7403670752813236,2.515524760841419
2011-12-20,49.94,0.8711202875804926,136.03,-1.5420888260453962,2.413209113625889
2011-12-21,52.14,1.9778344144088518,145.52,-1.0895484451666069,3.0673828595754586
2011-12-22,51.45,1.6109049499773267,145.24,-1.097084526657746,2.7079894766350727
2011-12-23,51.72,1.732324455950321,152.56,-0.7422458363124533,2.4745702922627744
2011-12-26,51.45,1.582123943273865,152.29,-0.7507845042486455,2.3329084475225104
2011-12-27,51.79,1.7377551265880065,151.21,-0.798961681143163,2.5367168077311693
2011-12-28,51.93,1.7893172894985172,149.31,-0.887900814347399,2.677218103845916
2011-12-29,52.0,1.8050802528575132,150.39,-0.8306491230678098,2.635729375925323
2011-12-30,52.0,1.7858316749812113,150.39,-0.8270232369475818,2.6128549119287934
2012-01-02,47.88,-0.268564003698832,137.66,-1.4735112037979454,1.2049472000991135
2012-01-03,48.36,-0.032274236052626325,141.18,-1.2904801138695954,1.2582058778169691
2012-01-04,48.36,-0.035583390091912415,141.45,-1.2755624424258525,1.23997905233394
2012-01-05,52.14,1.8342966843925135,152.83,-0.6731194655765886,2.507416149969102
2012-01-06,51.86,1.6783479798482492,150.93,-0.7693986990874362,2.4477466789356854
2012-01-09,51.86,1.6618626010542839,144.7,-1.100075899095891,2.761938500150175
2012-01-10,52.48,1.9456842910411114,146.33,-1.0074213762114244,2.9531056672525358
2012-01-11,52.48,1.9239207269109784,148.77,-0.8693916695004666,2.7933123964114452
2012-01-12,52.82,2.0641386189700803,147.41,-0.9414123657258844,3.0055509846959647
2012-01-13,53.17,2.203789933355973,147.41,-0.9382922770850972,3.14208221044107
2012-01-16,51.66,1.4639031544209034,140.91,-1.303644987371075,2.7675481417919783
2012-01-17,51.86,1.5465563676257899,142.53,-1.2108580586657973,2.757414426291587
2012-01-18,52.62,1.889497394259123,142.53,-1.2085190858753905,3.098016480134514
2012-01-30,53.99,2.5004976857053958,151.48,-0.6804892282596864,3.180986913965082
2012-01-31,53.85,2.397685155994434,153.1,-0.5793172868399575,2.9770024428343915
2012-02-01,52.82,1.8976221118989596,156.08,-0.3965574894333151,2.294179601332275
2012-02-02,52.69,1.8195806832207746,155.27,-0.43896750384242117,2.258548187063196
2012-02-03,52.27,1.612652245639473,158.52,-0.23352038502235897,1.846172630661832
2012-02-06,53.1,1.9699270638228346,154.46,-0.4778611336591814,2.447788197482016
2012-02-07,53.1,1.9503509324374888,154.46,-0.47182538672875085,2.4221763191662395
2012-02-08,53.17,1.964495967672865,157.71,-0.25878757463212376,2.223283542304989
2012-02-09,53.51,2.0995579594289997,158.52,-0.1985191860458753,2.298077145474875
2012-02-10,52.75,1.7480889265213078,157.98,-0.22550914002245867,1.9735980665437665
