time,test_value
2008-01-02,10000.0
2008-01-03,10018.373468944768
2008-01-04,10041.198288506774
2008-01-07,10062.056848883136
2008-01-08,10079.681533480425
2008-01-09,10067.035722237013
2008-01-10,10060.51450658449
2008-01-11,10055.037344723838
2008-01-14,10068.015002425193
2008-01-15,10067.977433730239
2008-01-16,10081.556713918419
2008-01-17,10078.010317827902
2008-01-18,10075.987209759121
2008-01-22,10090.786265976187
2008-01-23,10090.786265976187
2008-01-24,10090.786265976187
2008-01-25,10090.786265976187
2008-01-28,10090.786265976187
2008-01-29,10090.786265976187
2008-01-30,10090.786265976187
2008-01-31,10090.786265976187
2008-02-01,10090.786265976187
2008-02-12,10090.786265976187
2008-02-13,10090.786265976187
2008-02-14,10090.786265976187
2008-02-15,10090.786265976187
2008-02-19,10090.786265976187
2008-02-20,10090.786265976187
2008-02-21,10090.786265976187
2008-02-22,10090.786265976187
2008-02-25,10090.786265976187
2008-02-26,10090.786265976187
2008-02-27,10090.786265976187
2008-02-29,10090.786265976187
2008-03-03,10090.786265976187
2008-03-04,10090.786265976187
2008-03-05,10090.786265976187
2008-03-06,10069.96527429478
2008-03-07,10067.20342783684
2008-03-10,10074.335546164368
2008-03-11,10064.774419518244
2008-03-12,10065.088743239548
2008-03-13,10074.585050323663
2008-03-14,10073.273203865721
2008-03-17,10090.584330511845
2008-03-18,10082.834330511845
2008-03-19,10069.347392622309
2008-03-20,10064.959104115535
2008-03-24,10042.22536330118
2008-03-25,10039.13067870389
2008-03-26,10053.4759941066
2008-03-27,10043.768743239549
2008-03-28,10040.4720772196
2008-03-31,10045.071581378896
2008-04-01,10043.880365726374
2008-04-02,10029.423427836839
2008-04-03,10033.672797031419
2008-04-07,10044.387616593425
2008-04-08,10039.002797031419
2008-04-09,10039.261581378896
2008-04-10,10034.735139330065
2008-04-11,10031.455770135484
2008-04-14,10029.47923908025
2008-04-15,10012.529239080252
2008-04-16,10027.132301190715
2008-04-17,10053.568336405246
2008-04-18,10075.581309509309
2008-04-21,10061.595363301181
2008-04-22,10057.633021002535
2008-04-23,10049.35748162871
2008-04-24,10055.491085538193
2008-04-25,10055.259823927354
2008-04-28,10050.123516843238
2008-04-29,10046.539823927355
2008-04-30,10053.20820144053
2008-05-02,10032.600182863187
2008-05-05,10037.20067870389
2008-05-06,10037.930182863187
2008-05-07,10033.754867460477
2008-05-08,10035.047705599825
2008-05-09,10047.028832245947
2008-05-12,10051.13004789847
2008-05-13,10040.68202932113
2008-05-14,10043.324236655058
2008-05-15,10037.514236655057
2008-05-16,10034.179056217064
2008-05-19,10033.393740814354
2008-05-20,10040.044867460478
2008-05-21,10041.163021002536
2008-05-22,10046.123651807955
2008-05-23,10066.64932808665
2008-05-27,10064.007120752722
2008-05-28,10072.3759941066
2008-05-29,10068.108336405245
2008-05-30,10066.741670385296
2008-06-02,10080.190047898472
2008-06-03,10085.594147648659
2008-06-04,10082.638336405245
2008-06-05,10078.425498265897
2008-06-06,10076.079552057767
2008-06-09,10076.14464348936
2008-06-10,10084.551085538193
2008-06-11,10093.649463051368
2008-06-12,10115.402931996136
2008-06-13,10118.312931996135
2008-06-16,10124.159463051368
2008-06-17,10106.082301190716
2008-06-18,10104.429328086651
2008-06-19,10113.010454732774
2008-06-20,10110.045635170767
2008-06-23,10108.475770135483
2008-06-24,10124.54811243413
2008-06-25,10112.816489947303
2008-06-26,10099.607616593425
2008-06-27,10097.723427836838
2008-06-30,10095.247616593426
2008-07-01,10106.138112434128
2008-07-02,10119.440365726374
2008-07-03,10108.467799456612
2008-07-07,10121.279015109136
2008-07-08,10121.279015109136
2008-07-09,10121.279015109136
