actual_prices,predicted_prices
-0.9533252890655916,-0.859584629535675
-0.9533435362770915,-0.8595864772796631
-0.9533593176491995,-0.8595929741859436
-0.9533741126855507,-0.8595980405807495
-0.9533716468461589,-0.8596031069755554
-0.9533124667007538,-0.8596020936965942
-0.9533829897073616,-0.859581708908081
-0.9533785511964561,-0.8596054911613464
-0.9533997574152263,-0.8596043586730957
-0.9533657288316184,-0.8596113324165344
-0.9533484679558754,-0.8595998287200928
-0.9533351524231591,-0.8595934510231018
-0.9533524132989023,-0.8595890402793884
-0.9533696741746454,-0.859595000743866
-0.9533430431092131,-0.8596006035804749
-0.9533479747879968,-0.8595919013023376
-0.9533119735328754,-0.8595932126045227
-0.9533006306716728,-0.8595811724662781
-0.9532690679274567,-0.8595776557922363
-0.9533119735328754,-0.8595666289329529
-0.9533247958977131,-0.8595811128616333
-0.9533026033431863,-0.8595860004425049
-0.9533169052116591,-0.8595787286758423
-0.9533070418540918,-0.8595835566520691
-0.9532735064383622,-0.859580397605896
-0.9532715337668486,-0.8595690131187439
-0.953214326292957,-0.8595676422119141
-0.9531911474026732,-0.8595480918884277
-0.9531324604251465,-0.8595407009124756
-0.9531788182057138,-0.8595202565193176
-0.9532103809499298,-0.8595361113548279
-0.9531916405705517,-0.859546959400177
-0.95319213373843,-0.8595404028892517
-0.953169941183903,-0.8595408797264099
-0.9531078020312277,-0.8595342040061951
-0.9530629237542955,-0.8595131039619446
-0.9530619374185387,-0.8594974279403687
-0.9529554131568094,-0.8594971299171448
-0.953003250441012,-0.8594605326652527
-0.9530496082215792,-0.8594772219657898
-0.9529036305295799,-0.8594931960105896
-0.9527828043993778,-0.8594433069229126
-0.9524075036439335,-0.8594017028808594
-0.952501205540825,-0.8592725396156311
-0.9523044315573528,-0.8593042492866516
-0.9524055309724199,-0.8592361211776733
-0.9523660775421499,-0.8592707514762878
-0.9521480973399076,-0.8592566251754761
-0.9524075036439335,-0.8591804504394531
-0.9522595532804206,-0.8592705726623535
-0.9524193396730145,-0.8592186570167542
-0.952480492489933,-0.8592738509178162
-0.9525579198468381,-0.8592939972877502
-0.9523705160530552,-0.8593205213546753
-0.9524262440233118,-0.8592556118965149
-0.9524119421548388,-0.8592744469642639
-0.9523877769287983,-0.8592690229415894
-0.9523927086075822,-0.8592607378959656
-0.9524099694833252,-0.8592614531517029
-0.9524814788256899,-0.8592668175697327
-0.9524430117311765,-0.8592910766601562
-0.9525554540074462,-0.8592777848243713
-0.9526195658316352,-0.8593160510063171
-0.9527290491006347,-0.8593382239341736
-0.9527334876115401,-0.8593754768371582
-0.952705870210351,-0.8593772053718567
-0.9525613720219868,-0.8593679666519165
-0.9525741943868247,-0.859318196773529
-0.9525672900365274,-0.8593224883079529
-0.9526392925467703,-0.859320342540741
-0.952608716138311,-0.8593451380729675
-0.9525850440801488,-0.8593341708183289
-0.9526787459770404,-0.8593258261680603
-0.9527034043709591,-0.8593582510948181
-0.9526225248389055,-0.8593670725822449
-0.9525830714086354,-0.8593387603759766
-0.9526368267073785,-0.8593253493309021
-0.952514521073541,-0.8593438863754272
-0.9524775334826627,-0.8593015670776367
-0.9525086030590005,-0.8592885732650757
-0.9525061372196086,-0.85929936170578
-0.9524656974535818,-0.8592981696128845
-0.9525263571026221,-0.8592841029167175
-0.9526540875831215,-0.8593046069145203
-0.952574687554703,-0.8593489527702332
-0.9525717285474328,-0.8593210577964783
-0.9526175931601216,-0.8593198657035828
-0.9526659236122026,-0.8593358397483826
-0.9526052639631623,-0.8593522310256958
-0.9526540875831215,-0.859331488609314
-0.9528030242823912,-0.859348475933075
-0.9527315149400266,-0.8593990802764893
-0.9527926677569453,-0.8593748211860657
-0.9528020379466344,-0.8593960404396057
-0.9527038975388374,-0.8593990206718445
-0.9526782528091621,-0.8593654632568359
-0.9527157335679186,-0.8593568801879883
-0.9527246105897293,-0.8593689799308777
-0.952704390706716,-0.8593720197677612
-0.9527142540642835,-0.8593647480010986
-0.9527275695969997,-0.8593681454658508
-0.9527206652467023,-0.859373152256012
-0.9527527211587967,-0.8593704700469971
-0.9527403919618374,-0.8593814969062805
-0.9526550739188783,-0.8593770861625671
-0.9526856503273375,-0.8593473434448242
-0.9526279496855676,-0.8593579530715942
-0.9525455906498788,-0.8593382239341736
-0.9524582999354061,-0.8593095541000366
-0.9524222986802847,-0.8592792749404907
-0.9522491967549747,-0.8592666387557983
-0.9522891433531231,-0.8592070937156677
-0.9523281036155148,-0.8592200875282288
-0.9523823520821363,-0.8592332601547241
-0.9523340216300553,-0.8592517971992493
-0.9524400527239062,-0.8592350482940674
-0.9523769272354742,-0.8592712879180908
-0.9523019657179609,-0.8592491149902344
-0.9523009793822041,-0.8592226505279541
-0.9520489705963538,-0.8592220544815063
-0.95208053334057,-0.8591340184211731
-0.9520938488732861,-0.859144926071167
-0.9520109966697189,-0.859149158000946
-0.9518906637073952,-0.8591194748878479
-0.9516307642354909,-0.8590772151947021
-0.9517313704826796,-0.8589859008789062
-0.9515000747477211,-0.8590205311775208
-0.951727918307531,-0.8589388132095337
-0.9516924102202879,-0.859018087387085
-0.9517427133438823,-0.8590049743652344
-0.9517752624238551,-0.8590215444564819
-0.9519878177794353,-0.859032154083252
-0.9519251854588815,-0.8591058254241943
-0.9518872115322465,-0.8590831756591797
-0.9519330761449355,-0.8590695858001709
-0.951832963065625,-0.859085202217102
-0.9520573544502864,-0.8590490818023682
-0.9519493506849218,-0.8591271638870239
-0.9520918762017726,-0.8590890765190125
-0.9520637656327051,-0.8591381907463074
-0.9520849718514753,-0.8591282963752747
-0.9520174078521378,-0.8591353893280029
-0.9521352749750697,-0.8591113686561584
-0.9521633855441372,-0.8591517806053162
-0.9521209731065967,-0.8591609597206116
-0.9520440389175702,-0.8591462969779968
-0.9520169146842595,-0.8591187000274658
-0.9520864513551106,-0.8591089844703674
-0.9520642588005837,-0.859132707118988
-0.9520243122024351,-0.8591247200965881
-0.9518778413425573,-0.8591102957725525
-0.9519557618673408,-0.8590585589408875
-0.9518058388323144,-0.8590852618217468
-0.9517698375771929,-0.8590325713157654
-0.9517954823068685,-0.8590197563171387
-0.9518097841753415,-0.8590281009674072
-0.9517274251396526,-0.859032928943634
-0.9513250001508976,-0.8590034246444702
-0.9512485591297493,-0.8588624000549316
-0.9514413877701944,-0.8588349223136902
-0.9512362299327899,-0.8589016795158386
-0.9511533777292227,-0.8588290810585022
-0.9509713987821019,-0.8587989807128906
-0.9510759503723176,-0.8587348461151123
-0.9513960163253838,-0.8587706089019775
-0.9512520113048979,-0.8588818907737732
-0.951544459856775,-0.8588305711746216
-0.9514359629235322,-0.858931839466095
-0.9515148697840725,-0.8588932156562805
-0.9514941567331806,-0.8589197397232056
-0.9515439666888967,-0.8589120507240295
-0.9515740499294775,-0.8589287400245667
-0.9513970026611405,-0.8589381575584412
-0.951376782778127,-0.85887610912323
-0.9513166162969653,-0.858868420124054
-0.9513466995375462,-0.8588467240333557
-0.951291464735168,-0.8588563203811646
-0.9513930573181135,-0.8588362336158752
-0.9513693852599515,-0.858870804309845
-0.9513008349248573,-0.8588615655899048
-0.9512944237424383,-0.8588368892669678
-0.9513965094932622,-0.8588340878486633
-0.9513757964423705,-0.8588689565658569
-0.9513393020193706,-0.8588607907295227
-0.9512732175236681,-0.8588477373123169
-0.9504254619407394,-0.8588235378265381
-0.9506074408878602,-0.8585268259048462
-0.9501823301767,-0.8585891723632812
