Actual,Predicted
229.38999999999942,-1282.1281563010052
229.02000000000044,-1297.6321746425128
228.70000000000073,-1374.2772344449004
228.40000000000146,-1497.2240515487465
228.45000000000073,-1327.9972320803063
229.65000000000146,-1343.0782377604846
228.22000000000116,-1314.608277045445
228.3100000000013,-1381.951892729012
227.88000000000102,-1449.962659809873
228.5699999999997,-1266.6966544157258
228.91999999999825,-1229.8510430063725
229.1899999999987,-1356.8926226718868
228.84000000000015,-1284.0160013781388
228.4900000000016,-1330.1630569063127
229.02999999999884,-1414.7099932223246
228.9300000000003,-1300.636773145554
229.65999999999985,-1272.2780043300627
229.88999999999942,-1222.241649532869
230.52999999999884,-1210.0443815953513
229.65999999999985,-1132.3212438103765
229.40000000000146,-1506.8542369358001
229.84999999999854,-1676.7772143840266
229.5600000000013,-1636.4822368734385
229.7599999999984,-1613.820844302245
230.4399999999987,-1551.478446883193
230.47999999999956,-1428.5485502857991
231.63999999999942,-1372.9090906374004
232.11000000000058,-1290.7261907944194
233.29999999999927,-1109.9474998488877
232.36000000000058,-1005.4367831333584
231.72000000000116,-1182.9038892444878
232.09999999999854,-1378.0239180166718
232.09000000000015,-1358.6596069886364
232.54000000000087,-1378.4662683996612
233.79999999999927,-1312.2103995595135
234.70999999999913,-1393.032407240622
234.72999999999956,-1235.309114945121
236.88999999999942,-1150.2666495115554
235.91999999999825,-952.9421204700448
234.97999999999956,-1139.2707375322098
237.9399999999987,-1297.6104197056447
240.38999999999942,-1182.8144522818038
248.0,-947.5154723289961
246.09999999999854,-771.2352188847981
250.09000000000015,-1059.6742579613492
248.04000000000087,-927.0440767358814
248.84000000000015,-1090.486500212548
253.2599999999984,-993.7084549461142
248.0,-864.5324742522971
251.0,-1350.409651485119
247.7599999999984,-1391.2098269740964
246.52000000000044,-1651.7759574918855
244.95000000000073,-1593.0738861754653
248.75,-1468.6574022254026
247.61999999999898,-1525.432953021369
247.90999999999985,-1500.7701062582892
248.40000000000146,-1439.0948602365315
248.29999999999927,-1497.990308769553
247.95000000000073,-1426.7042150824054
246.5,-1345.1086985348666
247.27999999999884,-1475.8244453159205
245.0,-1493.6707451935836
243.70000000000073,-1382.981626407447
241.47999999999956,-1285.0819932846862
241.38999999999942,-1017.1796146118504
241.95000000000073,-935.2336018592105
244.88000000000102,-956.2899635325593
244.61999999999898,-977.5082786248204
244.7599999999984,-1027.9313878552275
243.29999999999927,-1112.011801636174
243.91999999999825,-1067.2328899154963
244.40000000000146,-1054.196848300944
242.5,-1109.5462421244265
242.0,-1111.6637226462808
243.63999999999942,-1052.6812543657834
244.4399999999987,-1073.7811259128684
