交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
313,多頭出場,Trailing Stop,2023-11-01 20:45,35477.69,387049.32146,201741717.82,1.49,2213597113.92,10.03,201861703.11,1.49,7075261.60,0.05
313,多頭進場,Long,2023-11-01 20:45,34956.46,387049.32146,201741717.82,1.49,2213597113.92,10.03,201861703.11,1.49,7075261.60,0.05
312,多頭出場,Trailing Stop,2023-11-01 13:00,34875.84,693626.55201,59124727.29,0.25,2011855396.10,3.03,59235707.54,0.25,52084417.79,0.22
312,多頭進場,Long,2023-11-01 13:00,34790.60,693626.55201,59124727.29,0.25,2011855396.10,3.03,59235707.54,0.25,52084417.79,0.22
311,空頭出場,Trailing Stop,2023-10-30 17:15,34063.09,443380.85584,50948894.14,0.34,1952730668.81,2.68,51059739.36,0.34,39904277.03,0.26
311,空頭進場,Short,2023-10-30 17:15,34178.00,443380.85584,50948894.14,0.34,1952730668.81,2.68,51059739.36,0.34,39904277.03,0.26
310,空頭出場,Trailing Stop,2023-10-30 16:45,34382.23,487601.30019,4573700.20,0.03,1901781774.66,0.24,4685848.49,0.03,0,0
310,空頭進場,Short,2023-10-30 16:45,34391.61,487601.30019,4573700.20,0.03,1901781774.66,0.24,4685848.49,0.03,0,0
309,多頭出場,Trailing Stop,2023-10-30 14:15,34830.77,484984.1621,15897780.83,0.09,1897208074.47,0.84,16009327.19,0.09,0,0
309,多頭進場,Long,2023-10-30 14:15,34797.99,484984.1621,15897780.83,0.09,1897208074.47,0.84,16009327.19,0.09,0,0
308,多頭出場,Trailing Stop,2023-10-30 13:45,34771.20,498434.14164,16328702.48,0.09,1881310293.63,0.88,16438357.99,0.09,0,0
308,多頭進場,Long,2023-10-30 13:45,34738.44,498434.14164,16328702.48,0.09,1881310293.63,0.88,16438357.99,0.09,0,0
307,多頭出場,Trailing Stop,2023-10-30 09:45,34629.81,561981.31357,5513036.69,0.03,1864981591.15,0.3,5619813.14,0.03,0,0
307,多頭進場,Long,2023-10-30 09:45,34620.00,561981.31357,5513036.69,0.03,1864981591.15,0.3,5619813.14,0.03,0,0
306,多頭出場,Trailing Stop,2023-10-29 13:00,34511.52,989468.25781,90556134.95,0.27,1859468554.47,5.12,90655081.78,0.27,89052143.20,0.26
306,多頭進場,Long,2023-10-29 13:00,34420.00,989468.25781,90556134.95,0.27,1859468554.47,5.12,90655081.78,0.27,89052143.20,0.26
305,空頭出場,Trailing Stop,2023-10-28 14:00,33930.18,624819.29413,57739550.97,0.27,1768912419.51,3.37,57839522.06,0.27,22749670.50,0.11
305,空頭進場,Short,2023-10-28 14:00,34022.59,624819.29413,57739550.97,0.27,1768912419.51,3.37,57839522.06,0.27,22749670.50,0.11
304,空頭出場,Trailing Stop,2023-10-24 16:30,33200.53,184402.20517,77404669.64,1.25,1711172868.54,4.74,77502402.81,1.25,40330606.29,0.65
304,空頭進場,Short,2023-10-24 16:30,33620.29,184402.20517,77404669.64,1.25,1711172868.54,4.74,77502402.81,1.25,40330606.29,0.65
303,多頭出場,Trailing Stop,2023-10-23 20:00,31379.62,247400.57056,52280688.57,0.68,1633768198.90,3.31,52374700.79,0.68,1219684.81,0.02
303,多頭進場,Long,2023-10-23 20:00,31168.30,247400.57056,52280688.57,0.68,1633768198.90,3.31,52374700.79,0.68,1219684.81,0.02
302,多頭出場,Trailing Stop,2023-10-23 17:45,31288.73,320678.02788,86073189.46,0.87,1581487510.33,5.76,86159772.53,0.87,15947318.33,0.16
