time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676
769996800,5806.77,5806.77,5806.77,5806.77,5871.695465389658,5384.705251207408,5293.616777289617,NaN,NaN,4816.809599565473,4816.860655802848
770256000,5934.5,5934.5,5934.5,5934.5,5881.357701483557,5392.288627052823,5301.156579909739,NaN,NaN,4820.683743067846,4820.16239684922
770342400,5891.56,5891.56,5891.56,5891.56,5882.927285870703,5399.175128748647,5308.102502499036,NaN,NaN,4824.395619175063,4823.327530093388
770428800,5961.45,5961.45,5961.45,5961.45,5895.007703429056,5406.930644214182,5315.788943646106,NaN,NaN,4828.33688219352,4826.689782589419
770515200,5956.62,5956.62,5956.62,5956.62,5904.486518286124,5414.512566362952,5323.328132544388,NaN,NaN,4832.247742220579,4830.027833453261
770601600,6023.69,6023.69,6023.69,6023.69,5922.825515472874,5422.915013723464,5331.567683926219,NaN,NaN,4836.377524743211,4833.5541618625575
770860800,6077.25,6077.25,6077.25,6077.25,5946.5831284770475,5431.940323879002,5340.340417056498,NaN,NaN,4840.678642508399,4837.22830023224
770947200,6069.85,6069.85,6069.85,6069.85,5965.547262557502,5440.739078032395,5348.922882738187,NaN,NaN,4844.939201806464,4840.86972327439
771033600,6098.58,6098.58,6098.58,6098.58,5986.013837548656,5449.812745921603,5357.742378235384,NaN,NaN,4849.28457719015,4844.585263235174
771120000,5942.38,5942.38,5942.38,5942.38,5979.300939464248,5456.606777012339,5364.6204679032035,NaN,NaN,4853.073469470253,4847.8283791488075
771206400,5994.66,5994.66,5994.66,5994.66,5981.663871854364,5464.028200777686,5372.032697692577,NaN,NaN,4857.030441846439,4851.216360303464
771552000,6098.94,6098.94,6098.94,6098.94,5999.706353107538,5472.7856049048905,5380.584548307958,NaN,NaN,4861.335154353037,4854.902397643779
771638400,6115.06,6115.06,6115.06,6115.06,6017.453068014071,5481.644562078616,5389.225435974923,NaN,NaN,4865.680821062385,4858.625167517801
771724800,6149.64,6149.64,6149.64,6149.64,6037.789519088829,5490.858292256842,5398.171489669336,NaN,NaN,4870.131286154023,4862.439096121884
771811200,6159.74,6159.74,6159.74,6159.74,6056.551131536702,5500.0842468464025,5407.131119202638,NaN,NaN,4874.601333689017,4866.271595099368
772070400,6038.41,6038.41,6038.41,6038.41,6053.760188223363,5507.509429648521,5414.5579295649595,NaN,NaN,4878.635332532383,4869.734337802176
772156800,5948.97,5948.97,5948.97,5948.97,6037.638620804384,5513.598540963714,5420.845130393607,NaN,NaN,4882.345331379757,4872.922626316793
772243200,5957.61,5957.61,5957.61,5957.61,6025.326525296017,5519.722836950422,5427.160011212506,NaN,NaN,4886.072418619342,4876.1270203306285
772329600,5871.14,5871.14,5871.14,5871.14,6001.605521404323,5524.569970233864,5432.383305198241,NaN,NaN,4889.486864308703,4879.066497375442
772416000,5939.62,5939.62,5939.62,5939.62,5992.069287342119,5530.294798230639,5438.3507957253205,NaN,NaN,4893.126840515605,4882.199594872117
772675200,5866.95,5866.95,5866.95,5866.95,5972.820166212563,5534.938318255044,5443.3931393050225,NaN,NaN,4896.502310739122,4885.108754119171
772761600,5874.56,5874.56,5874.56,5874.56,5957.703217564476,5539.622755244629,5448.465690607316,NaN,NaN,4899.89245870883,4888.031800635806
772848000,5933.15,5933.15,5933.15,5933.15,5953.9257994776335,5545.0507172412545,5454.167858953112,NaN,NaN,4903.47394065438,4891.119299009112
772934400,5932.6,5932.6,5932.6,5932.6,5950.644907250306,5550.396224589651,5459.796472377193,NaN,NaN,4907.041102038594,4894.196051449262
773280000,6067.63,6067.63,6067.63,6067.63,5968.642613827182,5557.5304835608285,5466.947455055109,NaN,NaN,4911.063940506398,4897.662621459752
773366400,6064.95,6064.95,6064.95,6064.95,5983.459134776846,5564.529373442748,5473.982779113284,NaN,NaN,4915.063545565301,4901.111033213194
773452800,6115.18,6115.18,6115.18,6115.18,6003.723883272716,5572.12455449871,5481.5262758295985,NaN,NaN,4919.223394627466,4904.697647590703
773539200,6095.34,6095.34,6095.34,6095.34,6017.818670461529,5579.341319264245,5488.747613761015,NaN,NaN,4923.300055304668,4908.215054835635
773625600,6191.79,6191.79,6191.79,6191.79,6044.583490390524,5587.788887274393,5497.018700657944,NaN,NaN,4927.69690086687,4912.0070044520735
773884800,6313,6313,6313,6313,6085.878338022751,5597.791799174057,5506.618480650203,NaN,NaN,4932.498644711352,4916.14583161765
773971200,6331.36,6331.36,6331.36,6331.36,6123.644747557712,5607.909981254415,5516.321322054318,NaN,NaN,4937.3473842444155,4920.326671110656
774057600,6318.23,6318.23,6318.23,6318.23,6153.580940241141,5617.707498754354,5525.755541794856,NaN,NaN,4942.133805789495,4924.45637075287
774144000,6304.61,6304.61,6304.61,6304.61,6176.816180204043,5627.182016012915,5534.918535420799,NaN,NaN,4946.856426913276,4928.53363405936
774230400,6407.5,6407.5,6407.5,6407.5,6212.3059986341905,5637.945022688598,5545.184199709966,NaN,NaN,4951.919316248065,4932.902810915906
774489600,6533.46,6533.46,6533.46,6533.46,6261.714306536623,5650.296953410135,5556.810973831026,NaN,NaN,4957.401259692612,4937.631192567558
774576000,6526.39,6526.39,6526.39,6526.39,6302.433643992527,5662.380995432064,5568.217785903602,NaN,NaN,4962.839695534232,4942.324719325114
774662400,6474.3,6474.3,6474.3,6474.3,6328.874621839831,5673.57987825369,5578.877576657677,NaN,NaN,4968.078726052311,4946.850495634345
774748800,6577.7,6577.7,6577.7,6577.7,6367.155449249088,5686.050500622605,5590.6284286969985,NaN,NaN,4973.658002565128,4951.668367139118
774835200,6496.6,6496.6,6496.6,6496.6,6387.069995518459,5697.230493717466,5601.286917771152,NaN,NaN,4978.936830979114,4956.232419230288
775094400,6688,6688,6688,6688,6433.36691928485,5710.8962800110185,5614.07177756208,NaN,NaN,4984.8607934367255,4961.348423900213
775180800,6727.22,6727.22,6727.22,6727.22,6478.5750855487195,5724.914538217763,5627.167639002526,NaN,NaN,4990.9001667697,4966.565178925618
775267200,6661.34,6661.34,6661.34,6661.34,6506.692764695071,5737.830751483725,5639.334372661319,NaN,NaN,4996.690252846755,4971.571899224213
775353600,6642.13,6642.13,6642.13,6642.13,6527.529262434291,5750.303844566708,5651.131968277068,NaN,NaN,5002.393683512798,4976.507078251615
775440000,6749.4,6749.4,6749.4,6749.4,6561.663222059785,5764.084481193374,5664.052768650279,NaN,NaN,5008.449164679131,4981.744575804786
775699200,6839.02,6839.02,6839.02,6839.02,6604.333495589049,5778.9111780045,5677.875912548511,NaN,NaN,5014.794297557193,4987.2313569693215
775785600,6879.56,6879.56,6879.56,6879.56,6646.676034729195,5794.092541066507,5692.013372400882,NaN,NaN,5021.257956837758,4992.821692694671
775872000,6723.56,6723.56,6723.56,6723.56,6658.50433707855,5806.912781879382,5704.149215078519,NaN,NaN,5027.158483850452,4997.934656674894
775958400,6789.57,6789.57,6789.57,6789.57,6678.668285220311,5820.466674543115,5716.918871371713,NaN,NaN,5033.267362589272,5003.227523272604
776044800,6919.21,6919.21,6919.21,6919.21,6715.674702878725,5835.621754894244,5731.063472884987,NaN,NaN,5039.804425457247,5008.887737384059
776390400,6944.91,6944.91,6944.91,6944.91,6750.941671666614,5850.922282412944,5745.344020262811,NaN,NaN,5046.407910984258,5014.607153226351
776476800,6838.01,6838.01,6838.01,6838.01,6764.33679910252,5864.537285414144,5758.198914142072,NaN,NaN,5052.617970218281,5019.993867692448
776563200,6692.02,6692.02,6692.02,6692.02,6753.211137702132,5875.950840098087,5769.18504456393,NaN,NaN,5058.300472921163,5024.933383592913
776649600,6628.14,6628.14,6628.14,6628.14,6733.9694242094965,5886.325862993285,5779.290396980825,NaN,NaN,5063.7418577637245,5029.669592208591
776908800,6543.57,6543.57,6543.57,6543.57,6704.677205100344,5895.391299365791,5788.281921722227,NaN,NaN,5068.871244738547,5034.141971552141
776995200,6583.9,6583.9,6583.9,6583.9,6686.096096623368,5904.887971098677,5797.642134407848,NaN,NaN,5074.122644236853,5038.720281828205
777081600,6645.9,6645.9,6645.9,6645.9,6679.912081758234,5915.10882666973,5807.621638708933,NaN,NaN,5079.570745989932,5043.46822781985
777168000,6586.16,6586.16,6586.16,6586.16,6665.48868456466,5924.364704922561,5816.780913547651,NaN,NaN,5084.792892450972,5048.02566289276
777254400,6766.38,6766.38,6766.38,6766.38,6681.010425400866,5935.978708992595,5827.952667505914,NaN,NaN,5090.621617260501,5053.102042027494
777513600,6838.6,6838.6,6838.6,6838.6,6705.254975339194,5948.428657834076,5839.8426361234915,NaN,NaN,5096.6804678072585,5058.376777501563
777600000,6798.19,6798.19,6798.19,6798.19,6719.552671440856,5960.149503932917,5851.117310992627,NaN,NaN,5102.578247814859,5063.51655068472
777686400,6862.14,6862.14,6862.14,6862.14,6741.489183526878,5972.590752154531,5863.011695569184,NaN,NaN,5108.677248688985,5068.830061613273
777772800,6858.01,6858.01,6858.01,6858.01,6759.4154629842815,5984.803431435159,5874.7175579742525,NaN,NaN,5114.7407937541875,5074.115674429777
