time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676
836573400,672.21,672.21,657.41,657.44,668.0492006192437,642.6280871207083,636.4606615167006,NaN,NaN,560.0517028462339,547.3204666126267
836832600,657.44,657.65,651.13,652.54,665.6631697547447,642.7648031604226,636.6498302047394,NaN,NaN,560.3722861985866,547.6313071839335
836919000,652.64,656.6,652.64,654.75,663.984220561707,642.9301162202788,636.8627733788013,NaN,NaN,560.6994186554373,547.9477582705393
837005400,654.74,656.27,648.39,656.06,662.7651097060598,643.1112180655164,637.0886231037566,NaN,NaN,561.0299579321949,548.2671445090311
837091800,656.06,656.06,639.52,645.67,660.1350928282044,643.1465116094403,637.1895804790065,NaN,NaN,561.3233376274039,548.5548929742924
837178200,645.67,647.64,640.21,646.19,657.9896939315576,643.1884907596549,637.2954677674887,NaN,NaN,561.6175028349346,548.8433275593019
837437400,646.19,646.19,629.69,629.8,653.6528179420872,643.0038219215907,637.2072857937536,NaN,NaN,561.853837313843,549.0824905502641
837523800,629.71,631.99,605.88,628.37,649.7631536433045,642.8019761019825,637.1033177255918,NaN,NaN,562.084395936672,549.3167224836459
837610200,629.04,636.61,629.04,634.07,647.3488223135653,642.6815350523,637.0676316347025,NaN,NaN,562.3339127618482,549.5671014423352
837696600,634.08,644.44,633.29,643.56,646.7659265730167,642.6936518101993,637.1440124390001,NaN,NaN,562.6154589914431,549.8447761795809
837783000,643.51,643.51,635.5,638.73,645.529630177168,642.6389807507483,637.1626711161883,NaN,NaN,562.8792875564641,550.1073617743236
838042200,638.72,638.72,630.38,633.77,643.7204563037575,642.5166499817724,637.1227573383509,NaN,NaN,563.1250092633741,550.3545187557879
838128600,633.79,637.7,625.65,626.87,641.1280784108717,642.3008341199549,637.002136663782,NaN,NaN,563.3459624375045,550.5805615364208
838215000,626.19,629.1,616.43,626.65,638.9006817322761,642.0849605458865,636.8803468206787,NaN,NaN,563.5653871777557,550.8052866131226
838301400,626.65,633.57,626.65,631.17,637.7113460811566,641.9344093659432,636.8131662698472,NaN,NaN,563.799718591351,551.042700832877
838387800,631.18,636.23,631.18,635.9,637.4326774532864,641.8511761333095,636.8024231372608,NaN,NaN,564.0496329116584,551.2933870933412
838647000,635.9,635.9,630.9,630.91,636.4291886143193,641.700263359057,636.7331005121166,NaN,NaN,564.2813846173372,551.5285912673638
838733400,630.91,635.26,629.22,635.26,636.2493134428855,641.6114321403113,636.7157699178564,NaN,NaN,564.5274110138108,551.7759514113302
838819800,635.26,640.54,633.74,639.95,636.8186498362877,641.5885158349276,636.7538196835287,NaN,NaN,564.7888411316139,552.0364360452702
838906200,639.95,650.66,639.49,650.02,638.8496267845511,641.704812168239,636.9098923931342,NaN,NaN,565.0842697585407,552.3259000451364
838992600,650.13,662.49,650.13,662.49,642.4866072792355,641.9915044141943,637.2108348355679,NaN,NaN,565.4218979396203,552.651347903201
839251800,662.49,663.64,659.03,660.23,645.216360005507,642.2430698705502,637.4816485433847,NaN,NaN,565.7505222101935,552.9691578059981
839338200,660.23,662.75,656.83,662.38,647.8569200046597,642.5208206309565,637.7745703252273,NaN,NaN,566.0854597415273,553.2923803826421
839424600,662.39,664.61,660,664.16,650.365086157789,642.8192920705295,638.0849871449304,NaN,NaN,566.4254061549016,553.6199065853522
839511000,664.16,664.17,661.28,662.59,652.2458421335139,643.0919914902463,638.3732814138136,NaN,NaN,566.7587323034114,553.9418270976554
839597400,662.45,665.37,660.31,662.1,653.7618664206656,643.354170917967,638.6524192795334,NaN,NaN,567.0892046351154,554.2613490264658
839856600,662.05,665.77,658.95,665.77,655.609271586717,643.6633547673744,638.9714496409507,NaN,NaN,567.4312524526713,554.5907689702576
839943000,665.77,665.77,659.13,660.2,656.3155374964529,643.8914464257554,639.2211972922337,NaN,NaN,567.752807903442,554.9027607901387
840029400,660.2,662.42,658.47,662.05,657.1977624969986,644.141909233676,639.4897714417368,NaN,NaN,568.0796612555964,555.2192962087794
840115800,662.05,664.18,660.64,662.28,657.979645189768,644.39208979597,639.7578917777164,NaN,NaN,568.4061788942251,555.5355759836426
840202200,662.28,666.34,662.26,665.21,659.0920074682653,644.6792333849911,640.0573283450374,NaN,NaN,568.7417207351464,555.8595772362759
840461400,665.15,667.12,665,666.58,660.2440063193013,644.9813129245084,640.3693597762722,NaN,NaN,569.0808482195999,556.1866685886059
840547800,666.58,666.99,665.15,665.69,661.0818515009473,645.2669499876187,640.6672496612572,NaN,NaN,569.4157152968284,556.5101643977977
840634200,665.69,665.69,662.16,665.07,661.6954128084939,645.5400955050308,640.954340841713,NaN,NaN,569.747272609491,556.8308729224718
840720600,665.07,670.68,664.88,670.68,663.0776569918025,645.8868528084097,641.3040544788694,NaN,NaN,570.0971260839815,557.1672071235871
840807000,670.68,670.68,664.93,667.03,663.6857097622944,646.1784824248455,641.606712661471,NaN,NaN,570.4331152483351,557.4917648573431
841066200,667.03,667.03,662.36,663.88,663.7156005680953,646.422641287951,641.8687513360419,NaN,NaN,570.7570212613391,557.806058018769
841152600,663.89,666.4,663.5,666.4,664.1285850960807,646.6981910632896,642.1573542615002,NaN,NaN,571.0885393852166,558.1268673008406
841239000,666.4,667.41,664.39,664.81,664.2334181582221,646.9480091175891,642.4238559760709,NaN,NaN,571.4133971343146,558.4420316515028
841325400,664.81,664.81,655.35,657.4,663.1821230569572,647.0921745090707,642.6000459057641,NaN,NaN,571.7114442846289,558.7343742463285
841411800,657.4,657.71,650.52,651.99,661.4602579712714,647.1597307227387,642.7105159539316,NaN,NaN,571.98970617619,559.009870925069
841757400,651.9,655.13,643.97,654.72,660.4232952064605,647.2640102989768,642.8518040015324,NaN,NaN,572.2764662934302,559.2926187214499
841843800,654.72,655.82,652.93,655.61,659.6827882516204,647.3791273983013,643.0019004250438,NaN,NaN,572.5653173634703,559.5771604682108
841930200,655.61,655.61,648.89,649.44,658.1069746744481,647.4075532272902,643.0776427729845,NaN,NaN,572.8317807348274,559.8426341448187
842016600,649.44,658.21,649.44,655.68,657.7335939553022,647.5216559413966,643.2259057991847,NaN,NaN,573.1189496057639,560.1257578253362
842275800,655.7,663.77,655.7,663.76,658.6607333467942,647.7456331008257,643.4674833780178,NaN,NaN,573.4331300230749,560.4319151138876
842362200,663.76,665.57,661.55,663.81,659.4529282165182,647.967210575297,643.7068071029823,NaN,NaN,573.746394737033,560.73731566008
842448600,663.65,667.73,661.79,667.28,660.6570931062846,648.2335938777068,643.9841387841237,NaN,NaN,574.0706013410642,561.0520650968301
842535000,667.34,673.07,667.34,671.13,662.2683095514716,648.5494063759453,644.3035018572517,NaN,NaN,574.4070290660518,561.377258405259
842621400,671.15,681.39,671.15,680.54,665.0793388512452,648.9906559431737,644.7298136001076,NaN,NaN,574.7749076481452,561.7292901381829
842880600,680.54,686.48,680.53,683.98,667.9871328741306,649.4732675853368,645.1915804989299,NaN,NaN,575.1534348313406,562.0904443770658
842967000,683.98,685.8,679.96,682.94,670.2875739704182,649.934877687608,645.6356795518836,NaN,NaN,575.5270451092216,562.4474593124363
843053400,682.94,683.77,679.75,681.47,672.0079472057384,650.3698448919168,646.0572597924497,NaN,NaN,575.8942650568499,562.7990768624734
843139800,681.47,684.07,679.06,683,673.6990322510095,650.8199159968559,646.4918802654797,NaN,NaN,576.2655154379354,563.1541756014321
843226200,683,687.07,683,687.02,675.7484119047003,651.3192275003476,646.9686816741212,NaN,NaN,576.6494131313914,563.5201012274249
843485400,687.03,687.03,681.01,686.48,677.3994254578233,651.8042036727566,647.4335207132492,NaN,NaN,577.0301084064993,563.8833505591016
843571800,686.48,690.88,683.54,685.61,678.6625907720044,652.2704905186496,647.8826557636816,NaN,NaN,577.4064685160088,564.2429566135798
843658200,685.61,688.26,684.92,685.83,679.7652691147729,652.7333803045992,648.3290951076383,NaN,NaN,577.7822866494022,564.602150242491
843744600,685.9,690.15,683.77,685.86,680.7029200201924,653.1902991969496,648.7706351651955,NaN,NaN,578.1569061064233,564.9603713643744
843831000,685.91,687.11,683.73,686.19,681.5470861709321,653.6454674838882,649.2108629867814,NaN,NaN,578.5313709032815,565.3185091151444
844090200,686.19,690.11,686.03,687.33,682.436765221558,654.1100817254897,649.6593234222311,NaN,NaN,578.9084892017104,565.6789566509933
844176600,687.31,689.54,684.44,689.08,683.4588013413182,654.5924254258279,650.1230960878519,NaN,NaN,579.2903661888795,566.0435092162784
844263000,689.15,694.82,689.15,694.01,685.0820626734231,655.1361161096096,650.6394126044654,NaN,NaN,579.6880079005298,566.4215490708832
844349400,694.06,694.81,691.78,692.78,686.2663607236657,655.6553420943046,651.1351842208835,NaN,NaN,580.080007873145,566.7948384384729
844435800,692.78,701.74,692.78,701.46,688.6038436892555,656.2871304792108,651.7272408771084,NaN,NaN,580.5007357488013,567.192667571594
844695000,701.46,704.17,701.39,703.38,690.8770985062931,656.9366873001871,652.3349203962013,NaN,NaN,580.9266604082509,567.5949935167297
844781400,703.35,705.76,699.88,700.64,692.3790833514788,657.539491613288,652.9032154503636,NaN,NaN,581.34161132538,567.988036371924
844867800,700.64,702.36,694.42,696.74,693.0499936050975,658.0801882806909,653.4189423274182,NaN,NaN,581.7416057401966,568.368396678063
844954200,696.74,696.82,693.34,694.61,693.2899945889286,658.5840477526814,653.9035430059192,NaN,NaN,582.1328306769724,568.7413408533125
845040600,694.61,700.67,694.61,700.66,694.4238415752473,659.1644057147133,654.4536189705555,NaN,NaN,582.5436700853711,569.1310562422244
845299800,700.66,705.16,700.66,703.54,695.8263274867477,659.776482877269,655.031105806196,NaN,NaN,582.9630681093387,569.5281284542119
