time,value
2008-01-02,10000.0
2008-01-03,10086.045764581433
2008-01-04,10081.738706970158
2008-01-07,10317.337692583811
2008-01-08,10379.861654278704
2008-01-09,10578.413404024102
2008-01-10,10659.953646927124
2008-01-11,10394.860995175855
2008-01-14,10380.24270475946
2008-01-15,10150.725720585244
2008-01-16,9980.16442492882
2008-01-17,9803.319721544247
2008-01-18,9688.297306255463
2008-01-22,9398.723675996425
2008-01-23,9472.90200789805
2008-01-24,9523.061657518116
2008-01-25,9362.117446014663
2008-01-28,9532.09647415865
2008-01-29,9352.603206466647
2008-01-30,9205.748941169302
2008-01-31,9346.47056571278
2008-02-01,9426.932871567094
2008-02-04,9411.62805371367
2008-02-05,9225.587922860226
2008-02-06,9182.521867196012
2008-02-07,9508.44270196276
2008-02-08,9554.982689657958
2008-02-11,9655.652128092195
2008-02-12,9753.76846216164
2008-02-13,9684.25936724513
2008-02-14,9602.399055077665
2008-02-15,9631.471785810258
2008-02-19,9531.429338317257
2008-02-20,9545.929121497002
2008-02-21,9517.87378070139
2008-02-22,9561.074738926272
2008-02-25,9626.402528535571
2008-02-26,9689.169657517627
2008-02-27,9726.790228827105
2008-02-28,9671.898562645774
2008-02-29,9490.355409124106
2008-03-03,9575.38195199038
2008-03-04,9596.05553246942
2008-03-05,9666.222359476156
2008-03-06,9611.20701893276
2008-03-07,9553.094850674628
2008-03-10,9499.529196769141
2008-03-11,9630.372815241812
2008-03-12,9608.00727045574
2008-03-13,9564.444330324104
2008-03-14,9406.633942012719
2008-03-17,9463.713674846578
2008-03-18,9675.143934827476
2008-03-19,9725.569958161977
2008-03-20,9878.451632177337
2008-03-24,9910.330855576967
2008-03-25,9930.682619826199
2008-03-26,9882.482324974793
2008-03-27,9892.441359437475
2008-03-28,9909.752505870092
2008-03-31,9960.761622464834
2008-04-01,9997.84345817381
2008-04-02,9876.808375490657
2008-04-03,9882.689715573102
2008-04-04,9872.49327864925
2008-04-07,9904.428131573666
2008-04-08,9876.073717667967
2008-04-09,9870.008836625902
2008-04-10,9966.40765693816
2008-04-11,9880.301776824394
2008-04-14,9899.31141682956
2008-04-15,9922.35025749962
2008-04-16,9925.873677261145
2008-04-17,9868.470141563721
2008-04-18,9820.837194157964
2008-04-21,9780.172215871109
2008-04-22,9678.425074770781
2008-04-23,9709.457862528845
2008-04-24,9581.821055321454
2008-04-25,9512.96627268491
2008-04-28,9556.583774095283
2008-04-29,9547.556919006545
2008-04-30,9584.235574352899
2008-05-01,9597.247310965844
2008-05-02,9628.980027384694
2008-05-05,9561.444013711496
2008-05-06,9550.736908637791
2008-05-07,9411.453108609814
2008-05-08,9310.955276733706
2008-05-09,9294.399413434847
2008-05-12,9313.742284623564
2008-05-13,9319.049279218623
2008-05-14,9314.05028889059
2008-05-15,9416.495455345128
