time,open,high,low,close,High Level,Fib 1.000 Level,Fib 0.786 Level,Fib 0.618 Level,Fib 0.382 Level,Fib 0.236 Level,Low Level,volume,Bullish Volume Trend,Bearish Volume Trend,ATR,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1701043200,37447.42,37465.55,37390.47,37390.86,37814.63,37163.72,37303.01474,37412.36762,37565.98238,37661.01524,37163.72,234.8514,226.68375999999998,468.87015200000013,101.97803058117866,44.77843579082282,56.786875827181056,NaN,NaN,50,NaN,NaN,NaN,NaN
1701044100,37390.86,37518,37390.86,37518,37814.63,37163.72,37303.01474,37412.36762,37565.98238,37661.01524,37163.72,184.99977,258.78781519999995,165.80738480000008,103.77531411109443,52.0359234232069,55.91106248169361,NaN,NaN,50,NaN,NaN,NaN,NaN
1701045000,37518,37538,37498.83,37532.25,37814.63,37163.72,37303.01474,37412.36762,37565.98238,37661.01524,37163.72,148.72626,196.8123044,139.24645160000006,99.1606488174447,52.78491293384547,55.51349295189003,NaN,NaN,50,NaN,NaN,NaN,NaN
1701045900,37532.24,37558.64,37484.12,37486.4,37814.63,37176.4,37312.98122,37420.20386,37570.82614,37664.00772,37176.4,141.13852,165.10149719999998,157.9163388,97.40060247334127,50.075388129637055,55.11541587823318,NaN,NaN,50,NaN,NaN,NaN,NaN
1701046800,37486.4,37569.23,37486.4,37512.65,37814.63,37226.68,37352.501299999996,37451.2769,37590.0331,37675.8738,37226.68,170.35169,201.06053359999999,150.9665224,96.359845153817,51.606971951662246,54.56313790350949,NaN,NaN,50,NaN,NaN,NaN,NaN
1701047700,37512.65,37544.23,37476.52,37544.23,37814.63,37272.2,37388.28002,37479.40826,37607.42174,37686.616519999996,37272.2,153.31048,215.8053,103.60538799999999,94.31342764283053,53.456875596819806,53.875916369758556,NaN,NaN,50,NaN,NaN,53.456875596819806,NaN
1701048600,37544.22,37550,37476.52,37481.21,37814.63,37293.27,37404.84104,37492.42952,37615.470479999996,37691.58904,37293.27,140.99027,154.84499359999998,146.96189439999998,92.82532566834287,49.39868314417697,52.54082726694794,NaN,NaN,50,NaN,NaN,NaN,NaN
1701049500,37481.22,37536,37458,37489.09,37814.63,37293.27,37404.84104,37492.42952,37615.470479999996,37691.58904,37293.27,134.33774,150.81620799999996,145.23527199999998,91.7663738348898,49.91072599403762,51.455843838136104,NaN,NaN,50,NaN,NaN,NaN,NaN
1701050400,37489.09,37495,37422.14,37458.33,37814.63,37320.3,37426.08662,37509.134060000004,37625.795939999996,37697.96812,37320.3,187.85896,156.42266079999996,158.3169952,90.41591856096913,47.87419614995081,50.283235639015366,NaN,NaN,50,NaN,NaN,NaN,NaN
1701051300,37458.32,37458.33,37371.1,37388.58,37814.63,37320.3,37426.08662,37509.134060000004,37625.795939999996,37697.96812,37320.3,183.56161,116.06665199999998,203.956972,90.18835294947156,43.5361926134595,48.98981245746563,NaN,NaN,50,NaN,NaN,NaN,NaN
1701052200,37388.57,37390.77,37254.08,37257.44,37814.63,37254.08,37374.0377,37468.2101,37600.4999,37682.3402,37254.08,372.09976,88.023708,319.515628,93.5098991673661,36.78691323474858,48.46209359799593,NaN,NaN,50,36.78691323474858,NaN,NaN,NaN
1701053100,37257.43,37322.96,37230,37314.94,37814.63,37230,37355.11082,37453.32866,37591.30134,37676.65732,37230,242.62883,150.32016959999996,297.8745904,93.47062065541131,41.098625192001336,48.02274648596558,NaN,NaN,50,NaN,NaN,NaN,NaN
1701054000,37314.93,37332,37231.53,37305.56,37814.63,37230,37355.11082,37453.32866,37591.30134,37676.65732,37230,170.46051,160.43454519999997,302.2093228,93.97057632288201,40.61197540917705,47.26573480604634,NaN,NaN,50,NaN,NaN,NaN,NaN
1701054900,37305.56,37309.99,37231.27,37238.07,37789.55,37230,37349.7437,37443.748100000004,37575.8019,37657.4962,37230,159.94191,144.2891464,307.1879016,92.88124944267624,37.19893796024341,46.51105410884217,NaN,NaN,50,NaN,NaN,NaN,NaN
1701055800,37238.07,37300.15,37200,37278.03,37783.29,37200,37324.82406,37422.81678,37560.47322,37645.63356,37200,388.13767,245.6252296,287.68224239999995,93.40044591105661,40.39308091148399,46.197814474603675,NaN,NaN,50,NaN,NaN,NaN,NaN
1701056700,37278.02,37309.26,37268.52,37309.25,37782.18,37200,37324.58652,37422.39276,37559.78724,37644.78552,37200,112.16704,262.14801040000003,167.18637359999997,89.63898548883866,42.839200889688385,45.5409057222095,NaN,NaN,50,NaN,NaN,NaN,NaN
1701057600,37309.26,37332.2,37300,37316.41,37759.72,37200,37319.78008,37413.81304,37545.90696,37627.62608,37200,107.94582,224.43676760000002,151.0244124,85.53620081106426,43.4127419792394,44.871464939737635,NaN,NaN,50,NaN,NaN,NaN,NaN
1701058500,37316.41,37316.41,37259.42,37299.98,37759.72,37200,37319.78008,37413.81304,37545.90696,37627.62608,37200,170.58306,224.47108160000002,151.03911839999998,83.4971864674172,42.362340283133946,44.320532950701704,NaN,NaN,50,NaN,NaN,NaN,NaN
1701059400,37299.98,37358.21,37285.32,37340.13,37759.72,37200,37319.78008,37413.81304,37545.90696,37627.62608,37200,126.34045,263.55596720000005,98.51364879999997,82.73953029117307,45.81272990642917,43.906658518899334,NaN,NaN,50,NaN,NaN,NaN,NaN
