time,open,high,low,close,MHULL,SHULL
1420070400,321,321,317.5,318.39,NaN,NaN
1420084800,318.39,318.39,312.6,315.7,NaN,NaN
1420099200,315.67,318.25,314.34,315.57,NaN,NaN
1420113600,315.57,317.37,313.24,313.24,NaN,NaN
1420128000,314.01,315.95,313.25,315.4,NaN,NaN
1420142400,315.39,316.55,313.6,313.81,NaN,NaN
1420156800,313.82,315.99,311.96,315.67,NaN,NaN
1420171200,315.65,315.99,312.02,312.02,NaN,NaN
1420185600,313.89,315.14,312.44,314.3,NaN,NaN
1420200000,314.93,317.01,314.3,315.03,NaN,NaN
1420214400,315.66,316.48,313.45,316.1,NaN,NaN
1420228800,316.2,316.83,313.5,315.42,NaN,NaN
1420243200,315.42,316.58,311.33,312.06,NaN,NaN
1420257600,312.81,313.73,305.7,306.47,NaN,NaN
1420272000,306.46,307.85,303.46,304.9,NaN,NaN
1420286400,304.9,304.9,297,301.95,NaN,NaN
1420300800,301.26,302.8,291.04,292,NaN,NaN
1420315200,292,296.85,280,282,NaN,NaN
1420329600,280,289.39,277,281.19,NaN,NaN
1420344000,279.48,288.96,278,282.77,NaN,NaN
1420358400,281.82,288.91,281.22,283.9,NaN,NaN
1420372800,283.94,285.15,255,265,NaN,NaN
1420387200,264.06,273.96,262.58,270.62,NaN,NaN
1420401600,270.8,272,256.88,264,NaN,NaN
1420416000,264.55,278.7,264.07,272.2,NaN,NaN
1420430400,272.19,275.09,264.95,275.09,NaN,NaN
1420444800,274.76,280,273.28,276.8,NaN,NaN
1420833600,272.45,305,272.45,293.97,NaN,NaN
1420848000,293.89,295,286,288.38,NaN,NaN
1420862400,288.38,292.88,285.02,285.8,NaN,NaN
1420876800,285.99,286.4,277.3,280,NaN,NaN
1420891200,280.37,280.82,271.03,276.85,NaN,NaN
1420905600,276.2,279.36,274.98,276,NaN,NaN
1420920000,275.19,277.58,274.72,275.59,NaN,NaN
1420934400,275.6,280.94,274.72,280,NaN,NaN
