Date,KO_price,KO_zscore,PEP_price,PEP_zscore,Zscore_diff
2012-08-16,26.6,1.822386762810468,50.77,2.433876963184869,-0.6114902003744009
2012-08-17,26.58,1.791321638839892,50.64,2.3474326097829783,-0.5561109709430863
2012-08-20,26.54,1.7479310880059515,50.6,2.2983304358115006,-0.5503993478055491
2012-08-21,26.4,1.6440388958243346,50.37,2.1786127724797413,-0.5345738766554067
2012-08-22,26.07,1.4252747440607412,50.29,2.1192999747623196,-0.6940252307015784
2012-08-23,25.63,1.1422839429943958,50.13,2.032991975214334,-0.8907080322199383
2012-08-24,25.87,1.281266654489614,50.41,2.1151195251916417,-0.8338528707020276
2012-08-27,25.67,1.1478830599935699,50.48,2.116811507138142,-0.968928447144572
2012-08-28,25.55,1.0649315406672806,50.45,2.0792642121740106,-1.01433267150673
2012-08-29,25.19,0.8350501006567295,50.22,1.969236326361848,-1.1341862257051185
2012-08-30,24.98,0.6987263576433701,49.8,1.7932816321844565,-1.0945552745410865
2012-08-31,25.15,0.7979705576083702,49.97,1.8369955009790098,-1.0390249433706396
2012-09-04,25.07,0.7425622746895474,50.01,1.8315948477141397,-1.0890325730245922
2012-09-05,25.22,0.8295622373251978,49.73,1.7104445740474126,-0.8808823367222147
2012-09-06,25.65,1.0883694374968096,50.15,1.8440383007661516,-0.755668863269342
2012-09-07,25.49,0.9818878241929896,50.12,1.8130873961807679,-0.8311995719877783
2012-09-10,25.33,0.8761702058400925,49.94,1.7298550349407866,-0.8536848291006941
2012-09-11,25.4,0.9124817070021343,49.76,1.6490646160920008,-0.7365829090898666
2012-09-12,25.42,0.9182559304601274,48.7,1.2570492753067777,-0.33879334484665025
2012-09-13,25.96,1.2420007989979192,49.27,1.4511481527290628,-0.20914735373114368
2012-09-14,25.81,1.1404836339649829,48.98,1.3377898233643808,-0.19730618939939792
2012-09-17,25.96,1.222767754666398,48.93,1.3110853903509931,-0.08831763568459516
2012-09-18,26.15,1.3281474804844156,49.17,1.3883490904390057,-0.06020160995459012
2012-09-19,26.08,1.2746778079830463,49.25,1.4063579650226827,-0.13168015703963643
2012-09-20,26.16,1.3128311597230853,49.52,1.491027475264922,-0.17819631554183668
2012-09-21,25.75,1.0554171587173837,49.04,1.3069052308374502,-0.2514880721200665
2012-09-24,25.81,1.0837178201899638,49.15,1.3376801768539015,-0.25396235666393774
2012-09-25,25.51,0.8952160614061605,48.9,1.2389162719662596,-0.34370021056009914
2012-09-26,25.57,0.9244980788823056,48.95,1.2486675086709167,-0.3241694297886111
2012-09-27,25.94,1.1396865561575746,49.1,1.2945185924126528,-0.15483203625507813
2012-09-28,25.68,0.9745683788562762,49.19,1.3191336041483332,-0.344565225292057
2012-10-01,25.98,1.1472321667134244,49.11,1.2802044308078298,-0.13297226409440532
2012-10-02,25.96,1.126207568051396,49.09,1.26307933110286,-0.13687176305146398
